study_id,fold
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,1
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,0
Ariza_etal_apple_Belgium_2019,4
Ariza_etal_sweetcherry_Belgium_2019,2
Betina_Blochtein_Brassica_napus_Brazil_2011,2
Bryony_Willcox_Macadamia_integrifolia_Australia_2016,4
Bryony_Willcox_Mangifera_indica_Australia_2016,3
Bryony_Willcox_Mangifera_indica_Australia_2016_2,0
Bryony_Willcox_Mangifera_indica_Australia_2017,1
Bryony_Willcox_Persea_americana_Australia_2015,1
Bryony_Willcox_Persea_americana_Australia_2016,2
Bryony_Willcox_Persea_americana_Australia_2017,4
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,1
Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,4
Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,4
Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,1
Christof_Schuepp_Prunus_avium_Switzerland_2011,2
Claire_Kremen_Fragaria_ananassa_USA_2012,0
David_Crowder_Brassica_napus_USA_2013,2
David_Crowder_Brassica_napus_USA_2014,0
David_Crowder_Fragaria_ananassa_USA_2016,4
David_Kleijn_Allium_porrum_Italy_2012,0
Dupont_redclover_Denmark_2008,4
Dupont_redclover_Denmark_2009,1
Fabiana_Oliveira_da_Silva_Malus_domestica_Brazil_2010,3
Fabiana_Oliveira_da_Silva_Malus_domestica_Brazil_2012,0
Finbarr_G_Horgan_Abelmoschus_esculentus_Philippines_2015,4
Finbarr_G_Horgan_Cucumis_sativus_Philippines_2015,4
Finbarr_G_Horgan_Lagenaria_siceraria_Philippines_2015,0
Finbarr_G_Horgan_Luffa_acutangula_Philippines_2015,2
Finbarr_G_Horgan_Momordica_charantia_Philippines_2015,1
Guiomar_Nates_Parra_Vaccinium_meridionale_Colombia_2013,1
Hajnalka_Szentgyorgyi_Fagopyrum_esculentum_Poland_2005,0
Ignasi_Bartomeus_Brassica_napus_Sweden_2013,3
Jeroen_Scheper_Brassica_napus_Netherlands_2011,0
Jeroen_Scheper_Brassica_napus_several_countries_2012,3
Juliana_Hipolito_Coffea_arabica_Brazil_2013,4
Juliana_Hipolito_Coffea_arabica_Brazil_2014,0
Juliana_Hipolito_Mangifera_indica_Brazil_2005,4
Katherine_LW_Burns_Malus_domestica_Ireland_2018,0
Katherine_LW_Burns_Vicia_faba_Ireland_2018,3
Katherine_LW_Burns_Vicia_faba_Ireland_2019,3
Leah_Blechschmidt_Malus_domestica_Canada_2018,0
Leah_Blechschmidt_Malus_domestica_Canada_2019,3
Louis_Sutter_Brassica_napus_Switzerland_2014,1
Marcos_Minarro_Malus_domestica_Spain_2015,4
Nicolas_J_Vereecken_Brassica_napus_Belgium_2019,3
Nicolas_J_Vereecken_Brassica_napus_France_2016,0
Nicolas_J_Vereecken_Fragaria_x_ananassa_Belgium_2019,2
Nicolas_J_Vereecken_Malus_domestica_Belgium_2019,4
Nicolas_J_Vereecken_Malus_domestica_France_2016,3
Nicolas_J_Vereecken_Malus_domestica_France_2019,0
Nicolas_J_Vereecken_Pyrus_communis_Belgium_2019,1
Nicolas_J_Vereecken_Rubus_idaeus_Belgium_2017,1
Nicolas_J_Vereecken_Vaccinium_corymbosum_Belgium_2017,2
Pablo_Cavigliasso_Vaccinium_corymbosum_Argentina_2016,1
Rachael_Winfree_Cucumis_melo_USA_2004,4
Rachael_Winfree_Solanum_lycopersicum_USA_2004,2
Rachael_Winfree_Solanum_lycopersicum_USA_2005,1
Rachael_Winfree_Vaccinium_corymbosum_USA_2010,2
Rachael_Winfree_Vaccinium_corymbosum_USA_2011,1
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,3
Rachael_Winfree_Vaccinium_macrocarpon_USA_2010,0
Ruan_Veldtman_Helianthus_annuus_South_Africa_2011,1
Ruan_Veldtman_Malus_domestica_South_Africa_2011,3
Sandra_Lindstrom_Brassica_napus_Sweden_2011,2
Sandra_Lindstrom_Brassica_napus_Sweden_2012,2
Saul_A_Cunningham_Brassica_napus_Australia_2006,0
Silvia_Castro_Helianthus_annuus_Spain_2017,4
Silvia_Castro_Helianthus_annuus_Spain_2018,2
Smitha_Krishnan_Coffea_canephora_India_2007,2
Smitha_Krishnan_Coffea_canephora_India_2008,3
Smitha_Krishnan_Coffea_canephora_India_2009,3
Smitha_Krishnan_Coffea_canephora_India_2014,2
Virginie_Boreux_Coffea_canephora_India_2008,3
Virginie_Boreux_Malus_domestica_Germany_2015,3
